Name,Description,Resumen
Abandonment of planning under pressure,"Projects make plans and then routinely abandon them when they run into schedule trouble. This would not be a problem if the plans were updated to account for the schedule difficulties. The problem arises when the plans are abandoned with no substitute, which tends to make the project slide into code-and-fix mode.",Abandonar la planificación cuando hay dificultades o presión por terminar.
Adding people to a late project,"When a project is behind, adding people can take more productivity away from existing team members than it adds through new ones. Adding people to a late project has been likened to pouring gasoline on a fire.","Agregar gente a un proyecto atrasado, saca productividad ya que necesitan que se les explique como funciona, o curva de aprendizaje de cómo trabaja el equipo/herramientas/negocio.
Para que sea efectivo agregarlos necesito que sea bajo tiempo de capacitación por experiencia u otra razón, que las tareas sean independientes/poca coordinación con otras personas y que las tareas que se den sean divisibles."
Assuming global development has a negligible impact on total effort,"Multi-site development increases communication and coordination effort between sites. The greater the differences among the sites in terms of time zones, company cultures, and national cultures, the more the total project effort will increase. Some companies naively assume that changing from single-site development to multi-site development will have a negligible impact on effort, but studies have shown that international development will typically increase effort by about 40% compared to single-site development.",Asumir que tener personas en distintos países no tiene impacto en el esfuerzo
Code-like-hell programming,"Some organizations think that fast, loose, all-as-you-go coding is a route to rapid development. If the developers are sufficiently motivated, they reason, they can overcome any obstacles. This is far from the truth. The entrepreneurial model is often a cover for the old code and-fix paradigm combined with an ambitious schedule, and that combination almost never works.",Codear tan rápido como puedas comiéndote muchos bugs o pasando cosas.
Confusing estimates with targets,"Some organizations set schedules based purely on the desirability of business targets without also creating analytically-derived cost or schedule estimates. While target setting is not bad in and of itself, some organizations actually refer to the target as the ‘estimate,’ which lends it an unwarranted and misleading authenticity as a foundation for creating plans, schedules, and commitments.",Confundir estimaciones con objetivos.
Developer goldplating,"Developers are fascinated by new technology and are sometimes anxious to try out new capabilities of their language or environment or to create their own implementation of a slick feature they saw in another product—whether or not it’s required in their product. The effort required to design, implement, test, document, and support features that are not required adds cost and lengthens the schedule.",Hacer funcionalidades que no son tan requeridas por el solo hecho de probar tecnología o cosas de la tecnología que se está usando.
Excessive multitasking,"When software developers are assigned to more than one project, they must ‘task switch’ as they change their focus from one project to another. They must get out of ‘flow’ on one project and into ‘flow’ on another. Task switching can be a significant factor—some studies have said that each task switch in software development can incur a 5-30 minute downtime as a developer works out of flow on one project and works into flow on the other.",Cambiar o tener más de un proyecto trae problemas de productividad y cuesta seguir el hilo rápido.
Feature creep,"The average project experiences about a 25-percent change in requirements over its lifetime. Such a change produces at least a 25-percent addition to the software effort and schedule, which is often unaccounted for in the project’s plans and unacknowledged in the project’s status reports.",No se contempló el 25% de porcentaje de adiciones de requerimientos/cambio de planificación en la planificación inicial por ende ante nuevos cambios se atrasó todo porque no hay tiempo contemplado desde el comienzo para eso.
Friction between developers and customers,"Friction between developers and customers can arise in several ways. Customers may feel that developers are not cooperative when they refuse to sign up for the development schedule that the customers want or when they fail to deliver on their promises. Developers may feel that customers are unreasonably insisting on unrealistic schedules or requirements changes after requirements have been baselined. There might simply be personality conflicts between the two groups. The primary effect of this friction is poor communication, and the secondary effects of poor communication include poorly understood requirements, poor user-interface design, and, in the worst case, customers’ refusing to accept the completed product.","Problemas entre los desarrolladores y los clientes. Puede ser que los clientes piensen que los devs no quieran adaptarse a los tiempos que quieren, o el dev pensar que el cliente insiste sin motivo. Esto promueve la mala comunicación y por ende, mala definición de los requerimientos, mal diseño de UI, y en el peor de los casos, el cliente rechaza el producto terminado"
Heroics,"Some project teams place a high emphasis on project heroics, thinking that the certain kinds of heroics can be beneficial. However, emphasizing heroics in any form usually does more harm than good. Sometimes there is a higher premium placed on a can-do attitudes than on steady and consistent progress and meaningful progress reporting. By elevating can-do attitudes above accurate-and-sometimes-gloomy status reporting, such project managers undercut their ability to take corrective action. They don’t even know they need to take corrective action until the damage has been done. Can-do attitudes can escalate minor setbacks into true disasters. An emphasis on heroics can encourage extreme risk taking and discourage cooperation among the many stakeholders in the software development process.",Enfatizar a los “heroics” hace daño a los proyectos. Sobre todo si nadie más puede solucionar ese problema por el motivo que sea y denota que hubo otros errores en la asignación de las tareas. El heroic es en definitiva el que viene a salvar las papas siempre
Inadequate design,A special case of shortchanging upstream activities is inadequate design. Rush projects undermine design by not allocating enough time for it and by creating a pressure-cooker environment that makes thoughtful consideration of design alternatives difficult. This results in going through several time-consuming design cycles before the system can be completed.,Partir de un mal diseño es meter a un proyecto en una olla a presión. En el medio del desarrollo se va a necesitar rever cosas que ya debieron estar resueltas antes.
